X;Y;Attack1;Attack2;Ability;Protect;EnemyX;EnemyY;next_move;DistanceDifference
-2.054001;-3.365838;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.489001
-2.084001;-3.329002;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.5190010000000003
-2.114001;-3.29609;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.549001
-2.144001;-3.267102;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.579001
-2.174001;-3.242038;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.609001
-2.204001;-3.220898;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.639001
-2.234001;-3.203682;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.669001
-2.264001;-3.19039;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.699001
-2.294001;-3.181022;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.7290010000000002
-2.324001;-3.175578;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.759001
-2.354001;-3.174058;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.789001
-2.414001;-3.18279;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.849001
-2.474001;-3.207218;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.909001
-2.534001;-3.247342;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.969001
-2.594001;-3.303162;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.029001
-2.654001;-3.374678;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.089001
-2.744;-3.511382;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.1790000000000003
-2.834;-3.683402;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.269
-2.834;-3.890738;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.269
-2.834;-3.955812;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.269
-2.834;-3.952392;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.269
-2.834;-3.671632;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.269
-2.834;-3.502264;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.269
-2.834;-3.408972;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.269
-2.834;-3.368212;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.269
-2.804;-3.331376;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.239
-2.774;-3.298464;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.209
-2.744;-3.269476;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.1790000000000003
-2.714;-3.244412;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.149
-2.684;-3.223272;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.119
-2.654001;-3.206056;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.089001
-2.624001;-3.192764;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.059001
-2.594001;-3.183396;0;0;0.0;0.0;0.435;-3.945924;GoLeft;3.029001
-2.534001;-3.176432;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.969001
-2.474001;-3.185164;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.909001
-2.414001;-3.209592;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.849001
-2.354001;-3.249716;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.789001
-2.294001;-3.305536;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.7290010000000002
-2.204001;-3.418696;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.639001
-2.114001;-3.567172;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.549001
-2.024001;-3.750963;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.459001
-1.934001;-3.960285;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.369001
-1.829697;-3.953382;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.264697
-1.725393;-3.951396;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.160393
-1.487823;-3.950112;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.922823
-1.487823;-3.950042;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.922823
-1.592127;-3.950027;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.027127
-1.647418;-3.950023;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.082418
-1.675849;-3.950022;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.110849
-1.704279;-3.950021;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.139279
-1.73271;-3.95002;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.16771
-1.76271;-3.873944;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.19771
