X;Y;Attack1;Attack2;Kick;DualAttack;Ability;Protect;Jump;Damage;EnemyX;EnemyY;EnemyDamage;moveCode
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4020162;-3.850072;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4088539;-3.877514;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4156916;-3.908879;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4225293;-3.944169;0;Punch
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4275167;-3.95257;0;Punch
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4387566;-3.877903;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4499965;-3.80716;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4612364;-3.740341;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4724762;-3.677446;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4837161;-3.618475;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4963023;-3.551375;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5088885;-3.488199;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5214748;-3.428948;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.534061;-3.37362;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5466473;-3.322216;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5325652;-3.282033;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5184832;-3.245774;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5044012;-3.213438;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4903192;-3.185027;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4762372;-3.160539;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4923186;-3.142802;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5084001;-3.128988;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5244815;-3.119099;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.540563;-3.113133;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5566444;-3.111092;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5696684;-3.112135;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5826923;-3.117101;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5957162;-3.125992;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.6087401;-3.138806;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.621764;-3.155545;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.6217918;-3.176608;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.6218196;-3.201594;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.6218473;-3.230505;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.6218751;-3.26334;0;Jump
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.6219029;-3.300098;0;Jump
-1.42557;-3.945924;0;0;0;0;0;0;0;0;-0.6290959;-3.34258;0;Jump
-1.397139;-3.945924;0;0;0;0;0;0;0;0;-0.6362889;-3.388986;0;Jump
-1.368709;-3.945924;0;0;0;0;0;0;0;0;-0.643482;-3.439315;0;Jump
-1.368709;-3.945924;0;0;0;0;1;0;0;0;-0.643482;-3.439315;0;Jump
-1.340279;-3.945924;0;0;0;0;1;0;0;0;-0.650675;-3.493569;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.657868;-3.551746;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.6634263;-3.598876;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.6689845;-3.649931;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.6745428;-3.704909;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.680101;-3.763811;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.6856593;-3.826638;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.6852009;-3.89931;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.6847425;-3.975907;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.684284;-3.891619;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.6838256;-3.811256;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.6833672;-3.734817;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.6760952;-3.664742;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.6688233;-3.598593;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.6615514;-3.536366;0;Jump
-1.311848;-3.945924;0;0;0;0;1;0;0;0;-0.6542794;-3.478065;0;Jump
-1.311848;-3.945924;0;0;0;0;0;0;0;0;-0.6542794;-3.478065;0;Jump
-1.311848;-3.945924;0;0;0;0;0;0;0;0;-0.6470075;-3.423687;0;Jump
-1.311848;-3.945924;0;0;0;0;0;0;0;0;-0.649241;-3.372965;0;Jump
-1.311848;-3.945924;0;0;0;0;0;0;0;0;-0.6514746;-3.326168;0;Jump
-1.311848;-3.945924;0;0;0;0;0;0;0;0;-0.6537082;-3.283295;0;Jump
-1.340279;-3.945924;0;0;0;0;0;0;0;0;-0.6559417;-3.244346;0;Jump
-1.368709;-3.945924;0;0;0;0;0;0;0;0;-0.6581753;-3.20932;0;Jump
-1.39714;-3.945924;0;0;0;0;0;0;0;0;-0.6635041;-3.183926;0;Jump
-1.42557;-3.945924;0;0;0;0;0;0;0;0;-0.668833;-3.162455;0;Jump
-1.454001;-3.945924;0;0;0;0;0;0;0;0;-0.6741618;-3.144909;0;Jump
-1.454001;-3.945924;1;0;0;0;0;0;0;0;-0.6741618;-3.144909;0;Jump
-1.482431;-3.945924;1;0;0;0;0;0;0;0;-0.6794906;-3.131286;0;Jump
-1.510862;-3.945924;1;0;0;0;0;0;0;0;-0.6848195;-3.121588;0;Jump
-1.539292;-3.945924;1;0;0;0;0;0;0;0;-0.6952071;-3.117836;0;Jump
-1.539292;-3.945924;1;0;0;0;0;0;0;0;-0.7055948;-3.118009;0;Jump
-1.539292;-3.945924;1;0;0;0;0;0;0;0;-0.7159824;-3.122106;0;Jump
-1.539292;-3.945924;1;0;0;0;0;0;0;0;-0.7263701;-3.130126;0;Jump
-1.539292;-3.945924;1;0;0;0;0;0;0;0;-0.7367578;-3.142071;0;Jump
-1.539292;-3.945924;1;0;0;0;0;0;0;0;-0.7417732;-3.150079;0;Jump
-1.539292;-3.945924;1;0;0;0;0;0;0;0;-0.7467887;-3.162011;0;Jump
-1.539292;-3.945924;1;0;0;0;0;0;0;0;-0.7518042;-3.177867;0;Jump
-1.539292;-3.945924;1;0;0;0;0;0;0;0;-0.7568197;-3.197647;0;Jump
-1.539292;-3.945924;1;0;0;0;0;0;0;0;-0.7618352;-3.221351;0;Jump
-1.539292;-3.945924;1;0;0;0;0;0;0;0;-0.7747171;-3.26355;0;Jump
-1.539292;-3.945924;1;0;0;0;0;0;0;0;-0.787599;-3.309673;0;Jump
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.787599;-3.309673;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8004808;-3.35972;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8133627;-3.413691;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8262446;-3.471586;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8205517;-3.525559;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8148588;-3.583456;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8091659;-3.645276;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.803473;-3.711021;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.7977801;-3.78069;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8023391;-3.847807;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8068982;-3.918849;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8114572;-3.993815;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8160163;-3.969289;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8205753;-3.956732;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8302488;-3.95408;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8399224;-3.951959;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8495959;-3.950263;0;Protect
-1.539292;-3.945924;0;1;0;0;0;0;0;0;-0.8592694;-3.94869;0;Protect
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.8592694;-3.94869;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.868943;-3.947117;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.8841646;-3.940876;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.8993863;-3.938559;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9146079;-3.940166;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9298296;-3.945696;0;Punch
