X;Y;Attack1;Attack2;Kick;DualAttack;Ability;Protect;Jump;Damage;EnemyX;EnemyY;EnemyDamage;moveCode
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,04992163;-3,737317;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,05855487;-3,738504;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,07997575;-3,715107;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,1013966;-3,695635;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,1228175;-3,680086;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,1442384;-3,668462;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,1656592;-3,660762;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,1656592;-3,660762;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,1656592;-3,660762;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,1656592;-3,660762;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,1838839;-3,671847;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2021085;-3,686583;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2203331;-3,70241;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2385578;-3,721105;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2567824;-3,743183;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2582389;-3,744962;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2582389;-3,744962;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2582389;-3,744962;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2595379;-3,746517;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2595379;-3,746517;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2595379;-3,746517;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2595379;-3,746517;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2608881;-3,747883;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2608881;-3,747883;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2608881;-3,747883;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2622392;-3,748955;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2622392;-3,748955;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2622392;-3,748955;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2622392;-3,748955;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2635902;-3,749788;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2635902;-3,749788;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2635902;-3,749788;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2765283;-3,73997;0;Jump
